Pore diameter(um)	Cumulative distribution
21.80255323	0.982331721
21.81036496	0.982372715
21.82597167	0.982413708
21.83376666	0.982495696
21.84933996	0.982577683
21.87265838	0.982618677
21.88042015	0.98265967
21.91914664	0.982700664
21.92687553	0.982741658
21.93459898	0.982782651
21.95773676	0.982864639
21.96543853	0.982905633
21.9731349	0.982946626
22.01920031	0.98298762
22.02685916	0.983069607
22.04980382	0.983110601
22.07270083	0.983151595
22.08032262	0.983192588
22.09555043	0.983274576
22.12594325	0.983315569
22.16381724	0.983356563
22.18647965	0.983397557
22.19402351	0.98343855
22.21662436	0.983520538
22.26168863	0.983561532
22.28415251	0.983643519
22.30657119	0.983684513
22.31403408	0.983725506
22.33639284	0.9837665
22.38097658	0.983807494
22.38838995	0.983848487
22.4253834	0.983930475
22.43276745	0.983971468
22.44752101	0.984012462
22.46961504	0.984053456
22.48432029	0.984094449
22.4916657	0.984135443
22.49900633	0.984176437
22.51367322	0.984217431
22.54294981	0.984258424
22.58672264	0.984299418
22.59400163	0.984340412
22.62307082	0.984381405
22.64482379	0.984422399
22.70983321	0.984463393
22.71703354	0.984504386
22.73860718	0.984586374
22.7457893	0.984627367
22.76013996	0.984668361
22.78878712	0.984709355
22.79593766	0.984750348
22.80308373	0.984832336
22.83874704	0.98487333
22.87429932	0.984914323
22.89557775	0.984955317
22.90266177	0.984996311
22.9168167	0.985078298
22.93801636	0.985119292
22.94507421	0.985283266
23.03643381	0.985365254
23.06439916	0.985406247
23.09926076	0.985570222
23.12707447	0.985611216
23.13401745	0.98565221
23.14789093	0.985693203
23.1894119	0.985775191
23.24454295	0.985816184
23.30625442	0.985857178
23.31992378	0.985898172
23.34039782	0.985939165
23.34721453	0.985980159
23.35402725	0.986021153
23.3676408	0.98610314
23.44899094	0.986185127
23.50963515	0.986226121
23.52306923	0.986267115
23.52978052	0.986308109
23.54319163	0.986349102
23.54989146	0.986390096
23.58333355	0.986472083
23.62999374	0.986513077
23.64993468	0.986554071
23.66320997	0.986595064
23.69633321	0.986636058
23.70955661	0.986718045
23.71616279	0.986759039
23.73595926	0.986841026
23.77545344	0.98688202
23.80826531	0.986923014
23.82136478	0.986964008
23.86057697	0.987005001
23.91266025	0.987045995
23.91915473	0.987086989
23.93861702	0.987127982
23.95804773	0.987168976
23.96451763	0.98720997
23.97098404	0.987250963
23.99036237	0.987291957
24.00970945	0.987332951
24.01615155	0.987373944
24.06756439	0.987414938
24.08038334	0.987455932
24.13790039	0.987496925
24.18879754	0.987537919
24.20782886	0.987578913
24.23948139	0.987619907
24.24580199	0.9876609
24.25211929	0.987701894
24.32139344	0.987742888
24.33394642	0.987783881
24.40899376	0.987824875
24.45255912	0.987865869
24.48977768	0.987906862
24.50215877	0.987947856
24.50834462	0.988070837
24.55155841	0.988111831
24.5884781	0.988152824
24.60689645	0.988193818
24.61302977	0.988234812
24.64976569	0.988316799
24.6741956	0.988357793
24.72898674	0.988398787
24.73505968	0.98843978
24.88592374	0.988480774
24.9039049	0.988521768
24.94576028	0.988562761
24.96365538	0.988603755
24.99342366	0.988644749
25.01125065	0.988685742
25.02905226	0.988726736
25.05866545	0.98876773
25.08230572	0.988808723
25.12356928	0.988849717
25.15883048	0.988890711
25.16469774	0.988931705
25.18228314	0.988972698
25.26402542	0.989013692
25.26984394	0.989054686
25.3336716	0.989136673
25.35680211	0.989177667
25.52325034	0.98921866
25.55741806	0.989259654
25.5631038	0.989300648
25.58582152	0.989341641
25.60283338	0.989382635
25.63113633	0.989423629
25.64808815	0.989464622
25.65373378	0.989505616
25.69880961	0.98954661
25.71567235	0.989587604
25.72128836	0.989669591
25.76053188	0.989710585
25.76612835	0.989751578
25.89418165	0.989792572
25.89972051	0.989833566
25.92737936	0.989874559
25.93290405	0.989915553
25.97701709	0.989956547
26.01000381	0.98999754
26.02646585	0.990038534
26.05385638	0.990079528
26.07026309	0.990120521
26.09756182	0.990161515
26.11391368	0.990202509
26.173696	0.990243503
26.20618976	0.990284496
26.21700313	0.99032549
26.26016765	0.990366484
26.32464959	0.990407477
26.3834818	0.990448471
26.39415041	0.990489465
26.39948149	0.990530458
26.40481041	0.990612446
26.41013718	0.990653439
26.49507489	0.990694433
26.50565388	0.99077642
26.53734029	0.990817414
26.59523629	0.990858408
26.60048708	0.990899401
26.64765116	0.990940395
26.71548374	0.990981389
26.74667523	0.991022383
26.85012501	0.991063376
26.98342932	0.99110437
27.04959039	0.991145364
27.05974033	0.991186357
27.10026415	0.991227351
27.11542938	0.991268345
27.13057767	0.991309338
27.21610018	0.991350332
27.27115312	0.991391326
27.28612905	0.991432319
27.29610387	0.991473313
27.5529305	0.9915553
27.59689802	0.991596294
27.62613204	0.991637288
27.63586298	0.991678282
27.72313471	0.991719275
27.92465989	0.991760269
28.03379731	0.991801263
28.05741069	0.991842256
28.07155967	0.99188325
28.09510965	0.991924244
28.14209152	0.991965237
28.26816529	0.992006231
28.40694103	0.992047225
28.49871018	0.992088218
28.51699324	0.992129212
28.55804463	0.992170206
28.58989208	0.992211199
28.59897833	0.992252193
28.60805882	0.992293187
28.68952502	0.992334181
28.69403737	0.992375174
28.6985483	0.992416168
28.72558416	0.992457162
28.78398791	0.992498155
28.7929521	0.992539149
28.81086374	0.992580143
28.87783484	0.992621136
28.91786885	0.99266213
28.92231024	0.992703124
28.94892996	0.992744117
29.010853	0.992785111
29.07690708	0.992826105
29.07690708	0.992867098
29.08569164	0.992908092
29.14703556	0.992949086
29.15577792	0.99299008
29.25159981	0.993031073
29.26027981	0.993072067
29.30360276	0.993113061
29.30792802	0.993154054
29.32089613	0.993195048
29.32953517	0.993236042
29.35542179	0.993277035
29.4456674	0.993318029
29.45851455	0.993359023
29.57363801	0.993400016
29.57788466	0.99344101
29.58637429	0.993482004
29.81377635	0.993604985
29.91373947	0.993645979
29.96347146	0.993686972
29.9717441	0.99376896
29.99653463	0.993809953
30.00066241	0.993850947
30.00478904	0.993891941
30.06655288	0.993932934
30.07476891	0.993973928
30.11987703	0.994055915
30.2137599	0.994096909
30.22596255	0.994137903
30.23002791	0.994178896
30.25033833	0.99421989
30.30706292	0.994260884
30.32727033	0.994301878
30.47997414	0.994342871
30.49196469	0.994383865
30.52787988	0.994424859
30.53186524	0.994465852
30.69437726	0.994506846
30.72195179	0.994588833
30.78871324	0.994629827
30.81611928	0.994670821
30.86298797	0.994711814
30.86688728	0.994752808
30.93690692	0.994793802
30.99888161	0.994834795
31.03363375	0.994875789
31.04905419	0.994916783
31.21005216	0.994957777
31.24053075	0.99499877
31.24814111	0.995039764
31.38072664	0.995080758
31.47474903	0.995121751
31.54583215	0.995162745
31.56448508	0.995203739
31.61659636	0.995244732
31.8892302	0.995285726
32.06361086	0.99532672
32.13930938	0.995367713
32.22896425	0.995408707
32.34655023	0.995449701
32.4385952	0.995490694
32.50904518	0.995531688
32.54415596	0.995572682
32.68036941	0.995613675
32.78783719	0.995654669
32.81545673	0.995695663
32.8774313	0.995736657
32.90490071	0.99577765
32.97679054	0.995818644
33.01432236	0.995859638
33.10947482	0.995900631
33.12640888	0.995941625
33.28810228	0.995982619
33.31489891	0.996023612
33.43163041	0.996064606
33.46483297	0.9961056
33.55085269	0.996146593
33.63971646	0.996187587
33.78678791	0.996228581
33.90029784	0.996269574
34.0515399	0.996310568
34.05474325	0.996351562
34.25535085	0.996392556
34.25851619	0.996433549
34.41290688	0.996474543
34.59698668	0.996515537
34.68984001	0.99655653
34.69292657	0.996597524
34.70526732	0.996638518
35.01097554	0.996679511
35.03217597	0.996720505
35.06241785	0.996761499
35.11973413	0.996802492
35.170859	0.996843486
35.2487637	0.99688448
35.48928583	0.996925473
35.62736639	0.996966467
35.64784022	0.997007461
35.80499658	0.997048455
35.88017486	0.997089448
35.94066659	0.997130442
36.24011466	0.997171436
36.25425107	0.997212429
36.3106868	0.997253423
36.37537176	0.997294417
36.6981564	0.99733541
36.83007632	0.997376404
37.02078209	0.997417398
37.09381758	0.997458391
37.25777326	0.997499385
37.51555635	0.997540379
37.64968251	0.997581372
37.72291584	0.997622366
38.10024756	0.99766336
38.47526912	0.997704354
38.5703876	0.997745347
39.09749849	0.997786341
39.25240879	0.997827335
39.61076719	0.997868328
39.7075981	0.997909322
39.72408308	0.997950316
40.07177982	0.997991309
40.52468417	0.998032303
40.72052388	0.998073297
40.9698985	0.99811429
41.03618222	0.998155284
41.35791902	0.998196278
41.37528536	0.998237271
41.67258751	0.998278265
